,movie_title,release_date,genre,avg_rating,prod_budget,domestic_gross,global_gross,release_month,ROI,global_gross_millions,prod_budget_millions,budget_category,rating_category,roi_category
3618,Videodrome,1983-02-04,horror,7.2,5952000,2120439,2120439,Feb,-0.6437434475806452,2.12,5.95,Low Budget,High Rating,Low ROI
3135,Lovesick,1983-02-18,comedy,5.2,10100000,10143618,10143618,Feb,0.004318613861386138,10.14,10.1,Low Budget,Low Rating,Low ROI
3187,The Outsiders,1983-03-25,crime,7.0,10000000,25697647,25707698,Mar,1.5707698,25.71,10.0,Low Budget,High Rating,Moderate ROI
3465,Flashdance,1983-04-15,drama,6.2,7000000,90463574,201463574,Apr,27.78051057142857,201.46,7.0,Low Budget,Moderate Rating,High ROI
3703,Lone Wolf McQuade,1983-04-15,action,6.3,5000000,12232628,12232628,Apr,1.4465256,12.23,5.0,Low Budget,Moderate Rating,Moderate ROI
3486,Breathless,1983-05-13,action,5.9,7000000,19910002,19910002,May,1.844286,19.91,7.0,Low Budget,Low Rating,Moderate ROI
2991,WarGames,1983-06-03,action,7.1,12000000,74433837,74433837,Jun,5.20281975,74.43,12.0,Low Budget,High Rating,High ROI
1943,Octopussy,1983-06-10,action,6.5,27500000,67900000,187500000,Jun,5.818181818181818,187.5,27.5,Moderate Budget,Moderate Rating,High ROI
1454,Superman III,1983-06-17,action,5.0,39000000,59950623,80200000,Jun,1.0564102564102564,80.2,39.0,Moderate Budget,Low Rating,Moderate ROI
3179,Twilight Zone: The Movie,1983-06-24,horror,6.4,10000000,29500000,29500000,Jun,1.95,29.5,10.0,Low Budget,Moderate Rating,Moderate ROI
3725,Eddie and the Cruisers,1983-09-23,drama,6.9,5000000,4685097,4685097,Sep,-0.0629806,4.69,5.0,Low Budget,High Rating,Low ROI
2818,Brainstorm,1983-09-30,sci-fi,6.4,15000000,8921050,8921050,Sep,-0.4052633333333333,8.92,15.0,Low Budget,Moderate Rating,Low ROI
1508,Never Say Never Again,1983-10-07,action,6.1,36000000,55500000,160000000,Oct,3.4444444444444446,160.0,36.0,Moderate Budget,Moderate Rating,High ROI
3420,Under Fire,1983-10-21,drama,7.0,8000000,5696391,5696391,Oct,-0.287951125,5.7,8.0,Low Budget,High Rating,Low ROI
1960,The Right Stuff,1983-10-21,adventure,7.8,27000000,21500000,21500213,Oct,-0.2036958148148148,21.5,27.0,Moderate Budget,High Rating,Low ROI
3194,The Dead Zone,1983-10-21,drama,7.2,10000000,20766000,20766000,Oct,1.0766,20.77,10.0,Low Budget,High Rating,Moderate ROI
3431,The Wicked Lady,1983-10-28,adventure,4.8,8000000,589308,589308,Oct,-0.9263365,0.59,8.0,Low Budget,Low Rating,Low ROI
3004,Yentl,1983-11-18,drama,6.6,12000000,39012241,39012241,Nov,2.251020083333333,39.01,12.0,Low Budget,Moderate Rating,High ROI
